rank,ticker,name,category,history_yr,start,cagr,n_matched,diversity,med_21d,win_21d,med_63d,win_63d,med_252d,win_252d
509,PGR,PGR,US Equity,26.5,2000-01-03,0.1746,1140,ROBUST,0.0033,0.5204,-0.0024,0.4879,-0.0944,0.3158
510,ZBH,ZBH,US Equity,25.0,2001-07-25,0.0549,1140,ROBUST,0.0033,0.5226,-0.0147,0.4336,-0.0955,0.2781
511,FICO,FICO,US Equity,26.5,2000-01-03,0.1726,1140,ROBUST,0.0019,0.508,-0.0069,0.4842,-0.0978,0.3491
512,MRVL,MRVL,US Equity,26.0,2000-06-30,0.1158,1140,ROBUST,0.002,0.508,0.0217,0.5551,-0.0988,0.386
513,ZBRA,ZBRA,US Equity,26.5,2000-01-03,0.1062,1140,ROBUST,0.0036,0.508,0.0104,0.5249,-0.099,0.293
514,ALGN,ALGN,US Equity,25.5,2001-01-30,0.0947,1140,ROBUST,0.0107,0.5248,0.0133,0.5158,-0.1051,0.4088
515,CMCSA,CMCSA,US Equity,26.5,2000-01-03,0.0362,1140,ROBUST,-0.0029,0.4869,-0.0222,0.4163,-0.1064,0.3272
516,WDAY,WDAY,US Equity,13.8,2012-10-12,0.0951,492,THIN,-0.0112,0.4475,-0.0301,0.4086,-0.1118,0.315
517,BRO,BRO,US Equity,26.5,2000-01-03,0.1486,1140,ROBUST,-0.0011,0.4934,-0.0005,0.4992,-0.1202,0.3675
518,STZ,STZ,US Equity,26.5,2000-01-03,0.1293,1140,ROBUST,0.0007,0.5036,-0.016,0.4412,-0.1233,0.1605
519,APTV,APTV,US Equity,14.7,2011-11-17,0.0735,492,THIN,-0.011,0.4448,-0.0386,0.3805,-0.1267,0.3943
520,PHM,PHM,US Equity,26.5,2000-01-03,0.1373,1140,ROBUST,-0.003,0.4818,-0.0103,0.4759,-0.1302,0.3509
521,KHC,KHC,US Equity,11.1,2015-07-06,-0.0507,492,THIN,-0.0057,0.4613,-0.0132,0.3968,-0.138,0.1768
522,CNC,CNC,US Equity,24.6,2001-12-13,0.1671,1140,ROBUST,0.0075,0.5262,0.0071,0.5189,-0.1456,0.2649
523,COO,COO,US Equity,26.5,2000-01-03,0.1202,1140,ROBUST,-0.0021,0.4847,-0.0323,0.414,-0.1515,0.1965
524,ZTS,ZTS,US Equity,13.5,2013-02-01,0.0788,492,THIN,-0.0159,0.4323,-0.0456,0.3348,-0.1546,0.1667
525,DHI,DHI,US Equity,26.5,2000-01-03,0.1638,1140,ROBUST,-0.0085,0.4745,-0.0288,0.4578,-0.1597,0.3009
526,LYB,LYB,US Equity,16.2,2010-04-28,0.1272,492,THIN,-0.0035,0.4696,-0.031,0.413,-0.1685,0.3089
527,NIBE-B.ST,NIBE B,Swedish,26.8,2000-01-03,0.2014,1138,ROBUST,0.0,0.4974,0.0079,0.5234,-0.1698,0.3576
528,BSX,BSX,US Equity,26.5,2000-01-03,0.0564,1140,ROBUST,-0.0056,0.4723,-0.0316,0.4148,-0.1984,0.3018
529,CDW,CDW,US Equity,13.1,2013-06-27,0.1822,492,THIN,-0.0049,0.4724,-0.0407,0.3835,-0.2078,0.1321
530,DOW,DOW,US Equity,7.4,2019-03-20,-0.0131,492,THIN,-0.0111,0.4434,-0.0477,0.3982,-0.2168,0.3455
531,SMCI,SMCI,US Equity,19.3,2007-03-29,0.1993,635,MODERATE,-0.0163,0.4625,-0.025,0.4348,-0.218,0.2709
532,DXCM,DXCM,US Equity,21.3,2005-04-14,0.1701,1081,ROBUST,-0.004,0.4813,-0.0147,0.4783,-0.2203,0.1119
533,LEN,LEN,US Equity,26.5,2000-01-03,0.1096,1140,ROBUST,-0.0098,0.4563,-0.0442,0.4193,-0.224,0.1421
534,CHTR,CHTR,US Equity,16.6,2010-01-05,0.0951,492,THIN,-0.0157,0.4461,-0.0615,0.3997,-0.2478,0.2683
535,AMD,AMD,US Equity,26.5,2000-01-03,0.1389,1140,ROBUST,-0.0072,0.4869,-0.0096,0.491,-0.2538,0.3982
536,BLDR,BLDR,US Equity,21.1,2005-06-28,0.0832,1072,ROBUST,-0.0221,0.444,-0.0673,0.38,-0.2829,0.111
537,LULU,LULU,US Equity,19.0,2007-07-27,0.122,548,THIN,-0.0309,0.4205,-0.156,0.3188,-0.3534,0.0182
538,MRNA,MRNA,US Equity,7.6,2018-12-07,0.1493,492,THIN,-0.0156,0.471,-0.0245,0.4749,-0.3877,0.3089
539,TTD,TTD,US Equity,9.8,2016-09-21,0.1969,492,THIN,-0.0242,0.4254,-0.1122,0.4012,-0.4041,0.2602
