signal,type,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d,confidence
gold_mom21d=MID + baa10y=MID,macro_x_momentum,False,ROBUST,702,-0.0016,0.4915,-0.0097,702,0.0204,0.5783,-0.0075,702,0.0819,0.7222,-0.0315,0.5152
breakeven=MID,macro_single,True,ROBUST,2152,0.0079,0.5734,-0.0002,2146,0.028,0.6347,0.0001,2034,0.1021,0.6421,-0.0113,0.5108
gold_dd_120d=DEEP  (p33=-6.9% p67=-2.9%),drawdown,True,ROBUST,2116,0.0096,0.5789,0.0015,2074,0.0181,0.6003,-0.0098,2051,0.0765,0.6928,-0.0369,0.5107
gold_mom63d=MID + baa10y=MID,macro_x_momentum,False,ROBUST,698,0.0033,0.533,-0.0048,698,0.0198,0.5989,-0.0081,698,0.0866,0.6877,-0.0268,0.5092
gold_mom63d=HIGH + baa10y=WIDE,macro_x_momentum,False,ROBUST,751,-0.0007,0.494,-0.0088,751,0.0117,0.5539,-0.0162,751,0.0885,0.7297,-0.0249,0.5026
gold_mom63d=LOW + baa10y=WIDE,macro_x_momentum,False,ROBUST,795,0.0122,0.6038,0.0041,795,0.0202,0.5698,-0.0077,795,0.0834,0.6931,-0.03,0.5
gold_mom63d=LOW + baa10y=MID,macro_x_momentum,False,ROBUST,731,0.0065,0.5595,-0.0016,731,0.02,0.6115,-0.0079,731,0.0542,0.6402,-0.0592,0.4954
gold_mom21d=LOW + baa10y=MID,macro_x_momentum,False,ROBUST,722,0.0048,0.5623,-0.0033,722,0.0117,0.5817,-0.0162,722,0.0575,0.6731,-0.0559,0.4911
baa10y=MID,macro_single,False,ROBUST,2172,0.0031,0.5341,-0.005,2172,0.01,0.5645,-0.0179,2172,0.068,0.6929,-0.0454,0.491
GSR=LOW (gold cheap vs silver),gsr,False,ROBUST,2145,0.0049,0.5375,-0.0032,2117,0.013,0.556,-0.0149,2070,0.0778,0.6894,-0.0356,0.4882
gold_dd60=DEEP + baa10y=MID,macro_x_drawdown,False,ROBUST,731,0.0034,0.5431,-0.0047,731,0.0144,0.6088,-0.0135,731,0.0473,0.6306,-0.0661,0.4868
gold_mom21d=HIGH + baa10y=WIDE,macro_x_momentum,False,ROBUST,757,0.0017,0.5112,-0.0064,757,0.0081,0.5324,-0.0198,757,0.1011,0.7147,-0.0123,0.4856
gold_mom63d=HIGH + baa10y=MID,macro_x_momentum,False,ROBUST,587,0.0016,0.523,-0.0065,587,0.0012,0.5094,-0.0267,587,0.0848,0.7428,-0.0286,0.4831
gold_mom21d=HIGH + baa10y=MID,macro_x_momentum,False,ROBUST,634,0.0065,0.5694,-0.0016,634,0.0059,0.5442,-0.022,634,0.0694,0.683,-0.044,0.4762
usd=MID,macro_single,False,ROBUST,1799,0.0011,0.5114,-0.007,1799,0.01,0.5614,-0.0179,1799,0.0432,0.6454,-0.0702,0.4708
gold_dd60=MID + baa10y=MID,macro_x_drawdown,False,ROBUST,652,-0.0012,0.4985,-0.0093,652,0.005,0.5199,-0.0229,652,0.0559,0.6887,-0.0575,0.4682
t10y2y=MID,macro_single,False,ROBUST,2312,0.0069,0.5666,-0.0012,2274,0.0131,0.566,-0.0148,2078,0.0205,0.5679,-0.0929,0.4437
se_10y=LOW,macro_single,False,ROBUST,2317,0.0009,0.5088,-0.0072,2317,0.0073,0.5395,-0.0206,2317,0.0192,0.5606,-0.0942,0.4263
usd=WEAK,macro_single,False,MODERATE,1798,0.0055,0.5445,-0.0026,1798,0.013,0.5539,-0.0149,1798,0.0213,0.5323,-0.0921,0.4245
t10y3m=MID,macro_single,False,ROBUST,2257,-0.0013,0.4887,-0.0094,2235,0.0002,0.5011,-0.0277,2235,0.0132,0.5391,-0.1002,0.3976
nominal_10y=LOW,macro_single,False,ROBUST,2312,0.0011,0.5104,-0.007,2312,0.0052,0.5268,-0.0227,2312,-0.0014,0.4931,-0.1148,0.3928
gold_mom21d=MID + ry=LOW,macro_x_momentum,False,ROBUST,687,-0.0097,0.4119,-0.0178,687,-0.0032,0.4862,-0.0311,687,-0.0157,0.4352,-0.1291,0.3478
gold_mom63d=LOW + ry=LOW,macro_x_momentum,False,ROBUST,817,-0.0015,0.4908,-0.0096,817,-0.003,0.4884,-0.0309,817,-0.0227,0.4125,-0.1361,0.3397
gold_mom63d=HIGH + ry=LOW,macro_x_momentum,False,ROBUST,525,-0.0046,0.4476,-0.0127,525,-0.0195,0.4171,-0.0474,525,0.0,0.499,-0.1134,0.3348
ry=LOW,macro_single,False,ROBUST,2088,-0.0039,0.4607,-0.012,2088,-0.0079,0.4588,-0.0358,2088,-0.0188,0.4334,-0.1322,0.333
gold_mom21d=LOW + ry=LOW,macro_x_momentum,False,ROBUST,737,0.0003,0.5034,-0.0078,737,-0.0116,0.4383,-0.0395,737,-0.0174,0.445,-0.1308,0.327
gold_mom21d=HIGH + ry=LOW,macro_x_momentum,False,ROBUST,578,-0.0035,0.4689,-0.0116,578,-0.0079,0.4533,-0.0358,578,-0.0222,0.4083,-0.1356,0.3208
gold_mom63d=MID + ry=LOW,macro_x_momentum,False,ROBUST,660,-0.0055,0.4379,-0.0136,660,-0.0067,0.4561,-0.0346,660,-0.0285,0.4,-0.1419,0.3194
gold_dd60=DEEP + ry=LOW,macro_x_drawdown,False,ROBUST,779,-0.0023,0.4814,-0.0104,779,-0.0112,0.4211,-0.0391,779,-0.0178,0.4416,-0.1312,0.319
gold_dd60=MID + ry=LOW,macro_x_drawdown,False,ROBUST,665,-0.0081,0.415,-0.0162,665,-0.0151,0.4586,-0.043,665,-0.0253,0.4075,-0.1387,0.3178
