,Base80%+Rot20%(n=1),Base80%+Rot20%(n=2),Base80%+Rot20%(n=3),Base70%+Rot30%(n=1),Base70%+Rot30%(n=2),Base70%+Rot30%(n=3),Base60%+Rot40%(n=1),Base60%+Rot40%(n=2),Base60%+Rot40%(n=3),Base50%+Rot50%(n=1),Base50%+Rot50%(n=2),Base50%+Rot50%(n=3)
2015-04-15,4.752482262186657,6.6436211421616145,6.607892263961502,3.944311253505766,6.476542760508432,6.397311223055313,3.213709349976628,6.159947720046131,6.02984359968541,2.584199069639092,5.74738843965472,5.56573351806621
2015-04-16,4.730424028965598,6.618350484929141,6.58275751035974,3.9243745928561555,6.451944611504994,6.3730139983622855,3.1961378875048605,6.136587187059371,6.0069764640022525,2.569001963620418,5.725625286584006,5.544658222429545
2015-04-17,4.659000823926574,6.521079029387971,6.4860091731471154,3.8689013592298993,6.364628001111447,6.2867655858549405,3.154036982472016,6.060680536142694,5.932673035790681,2.5376362447489083,5.661465845225856,5.482526637446765
2015-04-20,4.676159723325618,6.527864682551306,6.492758333595079,3.8840710035628554,6.36435649015136,6.286497396455693,3.167154239791309,6.053856871313678,5.925993493436492,2.548793824347907,5.648958974424455,5.470415065250739
2015-04-21,4.667041503383221,6.530906424383762,6.495783717176345,3.8693521935523503,6.363302037027035,6.285455843106032,3.1493259306309946,6.049029981011628,5.921268551778386,2.5297575978493723,5.640886789429422,5.46259801389557
2015-04-22,4.791293312433735,6.657221076169824,6.62141905858152,3.988334173660115,6.4894644321946044,6.410074815971375,3.2591632098034715,6.171898252578075,6.041541725282494,2.6284258257564432,5.758203487710055,5.5762067401379545
2015-04-23,4.757418567017114,6.596164544093658,6.560690883789911,3.975179386294693,6.447604575042442,6.368727056239453,3.26070619704858,6.148880823429825,6.019010446749217,2.6395839592053902,5.752397196705839,5.570583965760145
2015-04-24,4.658051335101859,6.449200765033378,6.414517464512272,3.9033924273301026,6.3176925417003975,6.240404316833382,3.211043037907014,6.038092871030183,5.910562444256392,2.6068457280581803,5.661013023743361,5.482088128073458
2015-04-27,4.674598516168404,6.510136337686305,6.475125330391019,3.9104489735003654,6.384988879440294,6.306877377015904,3.211246020360187,6.109677729984618,5.980635360978736,2.6024626544061764,5.734940411558085,5.5536789287620945
2015-04-28,4.659410167963357,6.483119573379563,6.448253860143137,3.9096101780483643,6.374991607092555,6.2970024074595985,3.220302124130265,6.115900199715464,5.986726406063205,2.6176994068932493,5.755601501581077,5.573686993723797
2015-04-29,4.65930999440794,6.48696605538399,6.45207965606627,3.908977491105287,6.379839029896652,6.301790528754285,3.2193290837245794,6.12157242085283,5.99227882434264,2.6165411074440543,5.761901172019112,5.579787553530722
2015-04-30,4.637752702091845,6.431247409972884,6.396660661200066,3.896510627384824,6.321570657170367,6.244234988927699,3.2136892473776535,6.062333440302299,5.934291028997872,2.615718352453191,5.7030089699478,5.522756728754814
2015-05-01,4.7256588506535495,6.567994467419932,6.532672303599326,3.949498587731225,6.429426055633037,6.35077092585683,3.2401802539208657,6.140295420563868,6.010606375988431,2.623271314465918,5.752389244973292,5.570576265354157
2015-05-04,4.710368910896539,6.55696258086526,6.521699745673213,3.9400434543821885,6.429038999102917,6.350388604427689,3.235149867102413,6.149869624093042,6.019978362975366,2.621406179672144,5.7706742715854675,5.5882833659899775
2015-05-05,4.6075984904858585,6.434304870167529,6.399701678611391,3.853671112574479,6.318108969873525,6.2408156505841275,3.1638942953121822,6.052685869985937,5.924847224802048,2.5633965826546548,5.687861543703547,5.508088059872371
2015-05-06,4.6033351789446435,6.427808428131772,6.393240173936038,3.848833709765176,6.309378357906059,6.232191845571339,3.158878686976393,6.042069327926816,5.91445491449434,2.5584870192284024,5.6757679903554115,5.496376741605133
2015-05-07,4.688246092840031,6.541938912555276,6.50675687348385,3.9080843478889404,6.399979555901445,6.321684663296924,3.1978698594468917,6.108313331677717,5.9792997800984775,2.5822611909173947,5.718721191741371,5.53797234196731
2015-05-08,4.7499137718447155,6.6159871080091746,6.58040684349718,3.9671305882629295,6.479062331668862,6.3997999707495605,3.252437694350881,6.190130817382237,6.0593892004862955,2.6313728858031813,5.801254765034775,5.617897316600219
2015-05-11,4.726934804722868,6.586287395016663,6.5508668532530585,3.944265443749319,6.445107999650787,6.366261022992575,3.2306804115455727,6.1530385253256465,6.02308033391471,2.6113338920060203,5.762132797878915,5.5800118585042044
2015-05-12,4.730677129089365,6.5969585420677905,6.561480611704642,3.9493262288381077,6.461387253458896,6.38234112266004,3.236413080112956,6.174152402332675,6.04374826518969,2.617250699937637,5.787123626940756,5.604212814540875
2015-05-13,4.76684915222425,6.669049377294309,6.6331837480217795,3.9803899110301573,6.544015461896456,6.463958489320807,3.2625790346735575,6.264592045328995,6.132277734474717,2.638984768188494,5.882658708950729,5.696728365504063
2015-05-14,4.8469083159754245,6.78927064131988,6.752758471432298,4.0397530765065115,6.65370329471698,6.572304443309423,3.3050996676217443,6.361670358508335,6.227305658735787,2.6684140661058593,5.9663757202193715,5.777799373761545
2015-05-15,4.860914290051924,6.812624716787228,6.775986950496721,4.049967441835788,6.676018024264335,6.594346183023272,3.3122626574980507,6.382457823453664,6.247654072091045,2.673233341585042,5.9853576938770106,5.79618139337526
2015-05-18,4.894458914894695,6.871268587945412,6.834315439473266,4.070598125423085,6.72712214505861,6.644825115625258,3.3231506804337974,6.425230784297614,6.289523626169429,2.67719062192696,6.019763969643748,5.829500206654959
2015-05-19,4.818225545317997,6.775977336280394,6.739536656754237,3.987416650703079,6.606883925296265,6.526057844077829,3.2390950146617405,6.284651712207787,6.151913721570399,2.5964646784799195,5.863943573105496,5.67860474988931
2015-05-20,4.790905677609663,6.754749945332965,6.718423425065658,3.9562145619960103,6.580330279892703,6.499829045776819,3.206768302839695,6.253822774771634,6.121735921444021,2.5649560685083954,5.829980912378839,5.6457155305240665
2015-05-21,4.795576060064801,6.768506521721749,6.732106019655701,3.954888362196265,6.5886042746529165,6.508001819661949,3.201492264365565,6.256813275345164,6.124663259720688,2.557375738903825,5.828226043372868,5.644016126812468
2015-05-22,4.823991066922279,6.820564172117915,6.783883708053645,3.9643227403714953,6.621773635554696,6.540765399337886,3.1977969157232766,6.271689154007953,6.139224945277306,2.545371380515425,5.826598478279233,5.642440003380131
2015-05-26,4.7763249556873095,6.750242365617458,6.713940086763559,3.9235613500357,6.549424993183613,6.469301842479194,3.1636346593976477,6.199304585831392,6.068369209973733,2.517158322449644,5.7557640126706815,5.573844368404134
2015-05-27,4.940013046486191,6.9808389481591595,6.943296538804936,4.03894013264106,6.740945985331121,6.65847984034356,3.2412783984309215,6.350093968566827,6.2159737734717115,2.5666922277177857,5.867453344578853,5.682003589716323
2015-05-28,4.962895896535781,7.019850451012911,6.98209824082808,4.050937939386388,6.770638984391323,6.687809586653934,3.24552098306186,6.370549993812583,6.235997747458004,2.5657869888391076,5.879410487060606,5.693582808589336
2015-05-29,5.084463979832613,7.187921793206215,7.149265708404565,4.141506906719439,6.916396531101517,6.831783991501518,3.3111443392807796,6.4923133485703035,6.35518934107701,2.6121810500233287,5.977591149283367,5.788660322193409
