assets,weights,is_calmar
SCA-B.ST/EXR/AMZN,60%/20%/20%,2.5266622793727915
SCA-B.ST/AMZN/MCD,30%/30%/40%,2.526402002064632
SCA-B.ST/AMZN/MO,40%/40%/20%,2.5262024956392404
SCA-B.ST/AMZN/TJX,70%/10%/20%,2.5261635776095166
SCA-B.ST/MO/TJX,30%/20%/50%,2.5257775714135926
SCA-B.ST/AMZN/TJX,50%/30%/20%,2.5255702281143946
SCA-B.ST/DPZ/LMT,60%/20%/20%,2.525464737098354
SCA-B.ST/CMS/AMZN,30%/40%/30%,2.5254090611421485
DPZ/MO/AMT,30%/30%/40%,2.5248531776093084
SCA-B.ST/DPZ/CMS,40%/30%/30%,2.5246632639117816
SCA-B.ST/DPZ/AMZN,80%/10%/10%,2.5243833226752215
SCA-B.ST/DPZ/SHW,50%/20%/30%,2.523643688440398
SCA-B.ST/AMZN/MCD,50%/20%/30%,2.5230425616629955
SCA-B.ST/DPZ/MRSH,50%/40%/10%,2.5226603600344544
SCA-B.ST/DPZ/CB,60%/20%/20%,2.521855304890432
SCA-B.ST/STZ/AMZN,60%/10%/30%,2.5211790647695302
SCA-B.ST/MO/TJX,20%/50%/30%,2.520712150085141
SCA-B.ST/DPZ/AVGO,70%/20%/10%,2.5202293365259862
SCA-B.ST/MCD/TJX,40%/40%/20%,2.5190554801019296
SCA-B.ST/DPZ/AMZN,50%/40%/10%,2.518753989961843
SCA-B.ST/DPZ/ADP,60%/20%/20%,2.5181991308805523
SCA-B.ST/DPZ/AMT,10%/40%/50%,2.516952012250688
SCA-B.ST/DPZ/ACGL,30%/40%/30%,2.5168838600583587
SCA-B.ST/STZ/AMZN,40%/20%/40%,2.515735562678299
SCA-B.ST/DPZ/CB,60%/30%/10%,2.515563988227835
SCA-B.ST/DPZ/CMS,50%/20%/30%,2.5149567787140086
SCA-B.ST/NI/AMZN,70%/10%/20%,2.5142871416862325
SCA-B.ST/DPZ/ROL,40%/40%/20%,2.5142519818587292
SCA-B.ST/UNH/GC_F,60%/20%/20%,2.5135779725818437
SCA-B.ST/MCD/IT,50%/30%/20%,2.513287732405076
SCA-B.ST/DPZ/GC_F,80%/10%/10%,2.5123647544244143
SCA-B.ST/AMZN/MCD,70%/20%/10%,2.5121292016334604
SCA-B.ST/DPZ/AMZN,50%/10%/40%,2.5111512674171723
SCA-B.ST/EXR/AMZN,50%/20%/30%,2.51093909050724
SCA-B.ST/DPZ/CB,50%/30%/20%,2.509209943966386
SCA-B.ST/MCD/TJX,60%/10%/30%,2.50880995084835
SCA-B.ST/DPZ/IFF,60%/20%/20%,2.5084787400003044
SCA-B.ST/DPZ/NI,70%/10%/20%,2.508346822727318
SCA-B.ST/EXR/AMZN,50%/30%/20%,2.5072316260677594
SCA-B.ST/DPZ/UNH,50%/20%/30%,2.5064061381401417
SCA-B.ST/DPZ/ADP,60%/30%/10%,2.506329519933326
SCA-B.ST/DPZ/EL,70%/20%/10%,2.50619575864888
SCA-B.ST/DPZ/COST,50%/40%/10%,2.506054702802379
SCA-B.ST/DPZ/IFF,60%/30%/10%,2.5057650498104898
SCA-B.ST/MCD/TJX,50%/20%/30%,2.505724775163438
SCA-B.ST/DPZ/BF_B,20%/40%/40%,2.505474198355824
SCA-B.ST/MCD/TJX,30%/50%/20%,2.504733523748251
DPZ/MO/MCD,10%/40%/50%,2.5044643179179995
SCA-B.ST/MO/TJX,50%/20%/30%,2.5042563638888335
SCA-B.ST/DPZ/LMT,50%/20%/30%,2.503911075284243
SCA-B.ST/DPZ/LMT,60%/30%/10%,2.503764468266394
SCA-B.ST/MO/TJX,50%/10%/40%,2.502939374831758
SCA-B.ST/DPZ/AOS,30%/40%/30%,2.5027809452548517
SCA-B.ST/AMZN/MCD,60%/30%/10%,2.502421370117887
SCA-B.ST/DPZ/XEL,50%/20%/30%,2.5014187700438364
SCA-B.ST/DPZ/MKC,40%/40%/20%,2.501019371845345
SCA-B.ST/NI/MCD,60%/20%/20%,2.500876571109983
SCA-B.ST/DPZ/ALGN,60%/20%/20%,2.5006388336182632
SCA-B.ST/DPZ/MCD,80%/10%/10%,2.4992003852146834
SCA-B.ST/CMS/AMZN,60%/20%/20%,2.498049800617316
SCA-B.ST/DPZ/ACGL,30%/30%/40%,2.497756608472012
SCA-B.ST/DPZ/MO,60%/10%/30%,2.4972469716853056
SCA-B.ST/MCD/TJX,40%/30%/30%,2.497035528668609
SCA-B.ST/DPZ/CB,40%/30%/30%,2.4969736074457676
SCA-B.ST/DPZ/CTAS,50%/40%/10%,2.4967304792230456
SCA-B.ST/NI/MCD,50%/20%/30%,2.496143173345795
SCA-B.ST/CMS/AMZN,30%/30%/40%,2.4954517351232677
SCA-B.ST/AMZN/ROST,40%/30%/30%,2.4951377156138466
SCA-B.ST/AMZN/MCD,40%/20%/40%,2.494883598043715
SCA-B.ST/DPZ/DTE,50%/20%/30%,2.494590951826313
SCA-B.ST/MCD/ROST,50%/40%/10%,2.4941192804909376
UNH/AMZN/MO,20%/30%/50%,2.492755732282382
SCA-B.ST/CMS/AMZN,40%/20%/40%,2.491637222559531
SCA-B.ST/DPZ/QQQ,70%/20%/10%,2.4909235047465343
SCA-B.ST/DPZ/MKC,40%/20%/40%,2.490901059853676
SCA-B.ST/DPZ/TJX,80%/10%/10%,2.489954295030622
SCA-B.ST/DPZ/GC_F,70%/20%/10%,2.4898265605187215
SCA-B.ST/DPZ/EXR,60%/10%/30%,2.489743861770985
SCA-B.ST/DPZ/AVGO,60%/30%/10%,2.489691766863275
SCA-B.ST/DPZ/ADP,50%/30%/20%,2.4891449464848407
SCA-B.ST/DPZ/STZ,70%/20%/10%,2.488852033403278
SCA-B.ST/CMS/AMZN,60%/10%/30%,2.4882415627839247
SCA-B.ST/NI/AMZN,70%/20%/10%,2.4876860612345415
SCA-B.ST/DPZ/IFF,50%/30%/20%,2.486658997816081
SCA-B.ST/AMZN/ROST,50%/30%/20%,2.4862688893681644
SCA-B.ST/NI/MCD,40%/20%/40%,2.485743124136141
DPZ/MO/AMT,30%/50%/20%,2.4856859116317502
SCA-B.ST/DPZ/EXR,40%/20%/40%,2.4843274332502507
SCA-B.ST/DPZ/EXR,70%/10%/20%,2.484097823829202
