condition,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d
ry=MID + breakeven=HIGH,False,ROBUST,488,0.0088,0.5758,0.0007,488,0.0218,0.6168,-0.0061,481,0.1454,0.8981,0.032
ry=MID + baa10y=WIDE + usd=MID,False,MODERATE,205,0.0086,0.5561,0.0005,205,0.0216,0.5951,-0.0063,205,0.1605,1.0,0.0471
ry=LOW + baa10y=TIGHT,False,THIN,356,0.0089,0.5758,0.0008,356,0.0208,0.6433,-0.0071,356,-0.0034,0.4831,-0.1168
t10y3m=HIGH + usd=MID,False,MODERATE,394,0.0084,0.5508,0.0003,394,0.0207,0.6447,-0.0072,394,0.177,0.8173,0.0636
baa10y=TIGHT + t10y2y=MID,False,ROBUST,840,0.0066,0.5655,-0.0015,802,0.0207,0.6185,-0.0072,606,0.0006,0.5,-0.1128
ry=MID + se_10y=LOW,False,MODERATE,661,0.0075,0.5734,-0.0006,661,0.0204,0.5976,-0.0075,661,0.1225,0.7549,0.0091
ry=LOW + baa10y=TIGHT + t10y2y=MID,False,THIN,276,0.0093,0.5906,0.0012,276,0.0201,0.663,-0.0078,276,-0.0237,0.3442,-0.1371
baa10y=MID + se_10y=MID,False,ROBUST,542,0.0022,0.5314,-0.0059,542,0.02,0.6162,-0.0079,542,0.0675,0.6107,-0.0459
baa10y=MID + usd=STRONG,False,MODERATE,634,0.0019,0.5315,-0.0062,634,0.0194,0.5726,-0.0085,634,0.1329,0.8659,0.0195
ry=HIGH + baa10y=WIDE + t10y2y=MID,False,THIN,33,0.0261,0.6667,0.018,33,0.0191,0.5455,-0.0088,33,0.2395,1.0,0.1261
nominal_10y=MID + baa10y=MID,False,ROBUST,843,0.0081,0.5848,0.0,843,0.019,0.6026,-0.0089,843,0.1047,0.7461,-0.0087
ry=MID + baa10y=TIGHT + breakeven=HIGH,False,ROBUST,157,0.0016,0.5223,-0.0065,157,0.0185,0.6306,-0.0094,150,0.2812,1.0,0.1678
ry=MID + baa10y=TIGHT,False,ROBUST,559,-0.0017,0.483,-0.0098,559,0.0184,0.6011,-0.0095,547,0.1634,0.7569,0.05
ry=MID + baa10y=TIGHT + nominal_10y=MID,False,ROBUST,430,-0.0013,0.4884,-0.0094,430,0.0182,0.5953,-0.0097,418,0.1629,0.7775,0.0495
nominal_10y=MID + breakeven=HIGH,False,ROBUST,495,0.0065,0.5535,-0.0016,495,0.0177,0.5798,-0.0102,480,0.1011,0.8917,-0.0123
t10y2y=HIGH + se_10y=MID,False,MODERATE,1069,0.0061,0.5491,-0.002,1069,0.0163,0.6043,-0.0116,1069,0.0414,0.5659,-0.072
hy_oas=WIDE + t10y2y=MID,False,THIN,34,-0.0046,0.4412,-0.0127,31,0.0157,0.7419,-0.0122,29,0.3916,1.0,0.2782
