condition,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d
ry=HIGH + baa10y=MID + t10y3m=MID,False,THIN,33,0.1042,0.8788,0.0961,33,0.1694,1.0,0.1415,33,0.03,0.6364,-0.0834
breakeven=HIGH + hy_oas=TIGHT,False,THIN,155,0.0367,0.7226,0.0286,125,0.1657,0.904,0.1378,61,0.7044,1.0,0.591
nominal_10y=MID + hy_oas=TIGHT,False,THIN,34,0.0534,0.7647,0.0453,34,0.1566,0.8529,0.1287,4,0.5775,1.0,0.4641
hy_oas=TIGHT + t10y2y=MID,False,THIN,138,0.0531,0.7101,0.045,112,0.1542,0.7768,0.1263,0,,,
ry=HIGH + baa10y=MID + usd=WEAK,False,THIN,45,0.0965,0.9111,0.0884,45,0.1465,1.0,0.1186,45,0.0465,0.7333,-0.0669
ry=MID + baa10y=WIDE + usd=STRONG,False,THIN,20,0.1127,1.0,0.1046,20,0.1448,1.0,0.1169,20,0.0954,1.0,-0.018
ry=HIGH + baa10y=MID + t10y3m=LOW,False,ROBUST,15,0.0583,1.0,0.0502,15,0.1433,1.0,0.1154,15,0.1466,1.0,0.0332
baa10y=TIGHT + hy_oas=TIGHT,True,THIN,246,0.0346,0.7154,0.0265,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
hy_oas=TIGHT + se_10y=MID,True,THIN,246,0.0346,0.7154,0.0265,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
hy_oas=TIGHT + usd=STRONG,True,THIN,246,0.0346,0.7154,0.0265,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
hy_oas=TIGHT + t10y3m=LOW,True,THIN,226,0.0391,0.7743,0.031,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
hy_oas=TIGHT,True,THIN,246,0.0346,0.7154,0.0265,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
ry=HIGH + baa10y=TIGHT + hy_oas=TIGHT,True,THIN,238,0.0333,0.7059,0.0252,208,0.1356,0.875,0.1077,100,0.6456,1.0,0.5322
ry=HIGH + hy_oas=TIGHT,True,THIN,238,0.0333,0.7059,0.0252,208,0.1356,0.875,0.1077,100,0.6456,1.0,0.5322
nominal_10y=HIGH + hy_oas=TIGHT,True,THIN,212,0.0327,0.7075,0.0246,182,0.1353,0.8846,0.1074,96,0.6612,1.0,0.5478
hy_oas=TIGHT + t10y2y=LOW,True,THIN,108,0.0257,0.7222,0.0176,104,0.1259,0.9904,0.098,100,0.6456,1.0,0.5322
hy_oas=MID + t10y2y=MID,False,THIN,107,0.0108,0.5981,0.0027,98,0.1236,0.7449,0.0957,16,0.3374,1.0,0.224
baa10y=WIDE + usd=STRONG,False,THIN,119,0.047,0.8067,0.0389,119,0.1189,0.9664,0.091,119,0.0574,0.8571,-0.056
nominal_10y=HIGH + usd=WEAK,False,THIN,202,0.0205,0.6733,0.0124,202,0.1157,0.7178,0.0878,202,0.2693,0.896,0.1559
ry=HIGH + baa10y=MID + t10y2y=MID,False,THIN,52,0.0583,0.9231,0.0502,52,0.1113,0.9615,0.0834,52,0.0767,0.7692,-0.0367
baa10y=TIGHT + usd=WEAK,False,THIN,156,0.014,0.6154,0.0059,156,0.1054,0.6923,0.0775,156,0.3301,0.9231,0.2167
t10y3m=LOW + usd=WEAK,False,THIN,166,0.0154,0.6446,0.0073,166,0.1054,0.7108,0.0775,166,0.3167,0.8976,0.2033
ry=HIGH + baa10y=TIGHT + usd=WEAK,False,THIN,156,0.014,0.6154,0.0059,156,0.1054,0.6923,0.0775,156,0.3301,0.9231,0.2167
ry=HIGH + usd=WEAK,False,THIN,287,0.0156,0.6167,0.0075,287,0.1052,0.7143,0.0773,287,0.2572,0.9164,0.1438
ry=HIGH + baa10y=TIGHT + nominal_10y=MID,False,THIN,150,0.0213,0.6667,0.0132,150,0.0994,0.84,0.0715,85,0.36,1.0,0.2466
ry=HIGH + t10y3m=MID,False,ROBUST,175,0.0125,0.6171,0.0044,153,0.0963,0.8431,0.0684,153,0.3024,0.915,0.189
ry=HIGH + baa10y=TIGHT + se_10y=MID,True,THIN,801,0.0222,0.7041,0.0141,758,0.0951,0.9142,0.0672,569,0.4052,1.0,0.2918
nominal_10y=HIGH + se_10y=MID,True,THIN,680,0.0224,0.7118,0.0143,637,0.0949,0.9356,0.067,513,0.409,1.0,0.2956
ry=LOW + baa10y=WIDE + usd=STRONG,False,THIN,99,0.0346,0.7677,0.0265,99,0.0948,0.9596,0.0669,99,0.0468,0.8283,-0.0666
ry=HIGH + se_10y=MID,True,MODERATE,893,0.0238,0.7066,0.0157,850,0.0945,0.9141,0.0666,661,0.3969,1.0,0.2835
breakeven=MID + hy_oas=TIGHT,True,THIN,91,0.0308,0.7033,0.0227,91,0.0945,0.8462,0.0666,39,0.5878,1.0,0.4744
ry=LOW + baa10y=WIDE + t10y3m=LOW,False,THIN,88,0.0291,0.75,0.021,88,0.0945,0.9545,0.0666,88,0.0384,0.8182,-0.075
ry=LOW + baa10y=WIDE + t10y2y=LOW,False,THIN,34,0.0285,0.8235,0.0204,34,0.0945,1.0,0.0666,34,0.0456,1.0,-0.0678
ry=HIGH + baa10y=TIGHT + breakeven=MID,True,MODERATE,561,0.0283,0.7451,0.0202,555,0.0893,0.9171,0.0614,448,0.3762,0.9933,0.2628
ry=HIGH + usd=STRONG,True,THIN,702,0.0233,0.7108,0.0152,659,0.0883,0.9014,0.0604,470,0.4091,1.0,0.2957
ry=HIGH + baa10y=TIGHT + usd=STRONG,True,THIN,699,0.0231,0.7096,0.015,656,0.0872,0.9009,0.0593,467,0.4098,1.0,0.2964
nominal_10y=HIGH + usd=STRONG,True,THIN,571,0.0238,0.718,0.0157,528,0.0859,0.9223,0.058,404,0.4156,1.0,0.3022
ry=LOW + baa10y=TIGHT + t10y3m=LOW,False,THIN,46,0.0387,0.8043,0.0306,46,0.0851,1.0,0.0572,46,0.2005,1.0,0.0871
t10y2y=LOW + usd=WEAK,False,THIN,134,0.0099,0.5896,0.0018,134,0.0849,0.6418,0.057,134,0.3447,0.9925,0.2313
ry=HIGH + baa10y=MID + breakeven=LOW,False,THIN,25,0.0259,0.76,0.0178,25,0.083,1.0,0.0551,25,0.1038,1.0,-0.0096
nominal_10y=HIGH + breakeven=MID,True,MODERATE,538,0.0323,0.7658,0.0242,532,0.0827,0.9229,0.0548,482,0.3171,0.9813,0.2037
breakeven=MID + hy_oas=MID,False,THIN,200,0.0277,0.725,0.0196,197,0.0818,0.868,0.0539,137,0.4115,1.0,0.2981
ry=HIGH + breakeven=MID,True,MODERATE,724,0.0286,0.7334,0.0205,718,0.0816,0.8691,0.0537,611,0.3144,0.9755,0.201
ry=HIGH + hy_oas=MID,False,THIN,247,0.0211,0.6923,0.013,237,0.0807,0.8945,0.0528,159,0.409,1.0,0.2956
ry=HIGH + baa10y=TIGHT + hy_oas=MID,False,THIN,247,0.0211,0.6923,0.013,237,0.0807,0.8945,0.0528,159,0.409,1.0,0.2956
nominal_10y=HIGH + hy_oas=MID,False,THIN,189,0.02,0.6984,0.0119,179,0.0807,0.9441,0.0528,144,0.4081,1.0,0.2947
baa10y=TIGHT + se_10y=MID,True,MODERATE,1028,0.0222,0.6877,0.0141,985,0.0788,0.8893,0.0509,784,0.3828,1.0,0.2694
ry=HIGH + baa10y=WIDE + usd=MID,False,THIN,123,0.0449,0.7236,0.0368,123,0.0787,0.9024,0.0508,123,0.3146,1.0,0.2012
ry=HIGH + t10y2y=MID,False,MODERATE,432,0.0225,0.6597,0.0144,394,0.0782,0.7284,0.0503,210,0.22,0.8905,0.1066
ry=HIGH + baa10y=TIGHT + t10y3m=MID,False,ROBUST,139,0.0034,0.554,-0.0047,117,0.0769,0.8034,0.049,117,0.3476,0.9915,0.2342
t10y2y=MID + se_10y=MID,False,THIN,318,0.0204,0.6258,0.0123,280,0.0762,0.7607,0.0483,84,0.374,0.9286,0.2606
ry=HIGH + t10y3m=LOW,True,MODERATE,1206,0.0231,0.6882,0.015,1185,0.0753,0.8312,0.0474,996,0.3466,0.9799,0.2332
ry=HIGH + t10y2y=LOW,True,ROBUST,1005,0.0212,0.6896,0.0131,1000,0.0746,0.858,0.0467,995,0.3499,0.9899,0.2365
ry=HIGH + baa10y=TIGHT + t10y2y=MID,False,MODERATE,347,0.0159,0.6196,0.0078,309,0.0746,0.7087,0.0467,125,0.3152,0.912,0.2018
hy_oas=MID + t10y3m=LOW,False,THIN,268,0.0242,0.7052,0.0161,259,0.0743,0.8726,0.0464,177,0.4098,1.0,0.2964
hy_oas=MID + usd=STRONG,False,THIN,269,0.0245,0.7063,0.0164,259,0.0743,0.8726,0.0464,177,0.4098,1.0,0.2964
hy_oas=MID + se_10y=MID,False,THIN,269,0.0245,0.7063,0.0164,259,0.0743,0.8726,0.0464,177,0.4098,1.0,0.2964
t10y3m=LOW + se_10y=MID,True,MODERATE,1016,0.0221,0.69,0.014,995,0.0743,0.8412,0.0464,794,0.3515,1.0,0.2381
hy_oas=MID,False,THIN,269,0.0245,0.7063,0.0164,259,0.0743,0.8726,0.0464,177,0.4098,1.0,0.2964
baa10y=TIGHT + hy_oas=MID,False,THIN,269,0.0245,0.7063,0.0164,259,0.0743,0.8726,0.0464,177,0.4098,1.0,0.2964
ry=HIGH + baa10y=TIGHT + t10y3m=LOW,True,MODERATE,1191,0.0221,0.6843,0.014,1170,0.0737,0.8291,0.0458,981,0.3492,0.9796,0.2358
ry=HIGH + baa10y=TIGHT + t10y2y=LOW,True,ROBUST,992,0.0206,0.6855,0.0125,987,0.0733,0.8561,0.0454,982,0.3521,0.9898,0.2387
baa10y=TIGHT + usd=STRONG,True,MODERATE,1021,0.0206,0.6846,0.0125,978,0.0721,0.8589,0.0442,777,0.3508,0.9717,0.2374
ry=HIGH + baa10y=MID + nominal_10y=HIGH,False,ROBUST,254,0.0246,0.6929,0.0165,254,0.0711,0.8622,0.0432,254,0.0952,0.9409,-0.0182
baa10y=TIGHT + t10y3m=LOW,True,MODERATE,1415,0.0238,0.6855,0.0157,1394,0.0706,0.8286,0.0427,1193,0.3211,0.9832,0.2077
ry=HIGH + baa10y=MID,False,ROBUST,315,0.0246,0.6952,0.0165,315,0.0704,0.8095,0.0425,315,0.0895,0.9333,-0.0239
breakeven=MID + t10y3m=LOW,True,MODERATE,763,0.023,0.6959,0.0149,758,0.0704,0.8166,0.0425,646,0.3111,0.9861,0.1977
ry=HIGH + baa10y=MID + breakeven=MID,False,THIN,155,0.0323,0.729,0.0242,155,0.0703,0.7355,0.0424,155,0.0836,0.9226,-0.0298
ry=HIGH + baa10y=MID + se_10y=HIGH,False,THIN,312,0.0233,0.6923,0.0152,312,0.07,0.8077,0.0421,312,0.0891,0.9327,-0.0243
ry=HIGH + baa10y=TIGHT,True,MODERATE,1370,0.0202,0.673,0.0121,1327,0.0698,0.8244,0.0419,1138,0.3401,0.9815,0.2267
ry=HIGH + nominal_10y=HIGH,True,ROBUST,1485,0.0207,0.6781,0.0126,1442,0.0686,0.8239,0.0407,1318,0.284,0.9727,0.1706
ry=HIGH + baa10y=TIGHT + nominal_10y=HIGH,True,ROBUST,1220,0.0196,0.6738,0.0115,1177,0.0685,0.8224,0.0406,1053,0.3356,0.9801,0.2222
t10y2y=LOW + se_10y=MID,True,MODERATE,898,0.0165,0.6648,0.0084,893,0.0684,0.8376,0.0405,888,0.3332,1.0,0.2198
hy_oas=MID + t10y2y=LOW,False,THIN,162,0.0277,0.7778,0.0196,161,0.0681,0.9503,0.0402,161,0.4129,1.0,0.2995
breakeven=LOW + usd=WEAK,False,MODERATE,308,0.0366,0.6753,0.0285,308,0.0681,0.7597,0.0402,308,0.2566,0.9188,0.1432
ry=HIGH,True,ROBUST,2012,0.0197,0.659,0.0116,1969,0.0664,0.8095,0.0385,1780,0.2718,0.9764,0.1584
ry=HIGH + baa10y=WIDE + se_10y=MID,False,THIN,89,0.0495,0.7191,0.0414,89,0.0652,0.9101,0.0373,89,0.3044,1.0,0.191
se_10y=MID + usd=STRONG,True,THIN,1038,0.0172,0.6551,0.0091,995,0.0652,0.796,0.0373,794,0.3456,1.0,0.2322
breakeven=MID + se_10y=HIGH,False,MODERATE,386,0.0352,0.7642,0.0271,386,0.0647,0.7358,0.0368,386,0.1202,0.8497,0.0068
nominal_10y=LOW + t10y3m=LOW,False,THIN,397,0.009,0.6171,0.0009,397,0.0645,0.7809,0.0366,397,0.229,0.8262,0.1156
ry=MID + baa10y=WIDE + breakeven=LOW,False,ROBUST,399,0.0292,0.6667,0.0211,399,0.0645,0.7694,0.0366,399,0.2128,1.0,0.0994
nominal_10y=HIGH + t10y2y=LOW,True,ROBUST,1053,0.0178,0.6553,0.0097,1048,0.0643,0.7834,0.0364,1043,0.3137,0.9847,0.2003
ry=LOW + baa10y=TIGHT + usd=STRONG,False,THIN,129,0.0139,0.6202,0.0058,129,0.0639,0.7519,0.036,129,0.0381,0.8295,-0.0753
t10y3m=LOW + t10y2y=MID,False,MODERATE,425,0.0184,0.64,0.0103,404,0.0633,0.7426,0.0354,208,0.0786,0.6731,-0.0348
nominal_10y=HIGH + baa10y=TIGHT,True,ROBUST,1305,0.0168,0.6513,0.0087,1262,0.0622,0.7956,0.0343,1138,0.3301,0.9815,0.2167
ry=MID + baa10y=WIDE + nominal_10y=LOW,False,ROBUST,190,0.0216,0.6579,0.0135,190,0.0621,0.6421,0.0342,190,0.1272,1.0,0.0138
nominal_10y=LOW + t10y2y=LOW,False,THIN,343,0.0095,0.6356,0.0014,343,0.0618,0.7464,0.0339,343,0.2496,0.8892,0.1362
breakeven=MID + usd=STRONG,True,MODERATE,666,0.0171,0.6637,0.009,660,0.0617,0.7864,0.0338,548,0.3244,1.0,0.211
breakeven=MID + hy_oas=WIDE,False,THIN,183,0.0123,0.6831,0.0042,180,0.0617,0.8611,0.0338,180,0.3504,1.0,0.237
t10y3m=LOW + usd=STRONG,True,MODERATE,1416,0.0191,0.6674,0.011,1395,0.0616,0.8014,0.0337,1194,0.2743,0.9422,0.1609
ry=HIGH + nominal_10y=MID,False,ROBUST,498,0.0133,0.5904,0.0052,498,0.0612,0.757,0.0333,433,0.2358,0.9861,0.1224
nominal_10y=MID + hy_oas=WIDE,False,THIN,102,0.0033,0.5882,-0.0048,102,0.0607,0.8039,0.0328,102,0.301,1.0,0.1876
baa10y=TIGHT + t10y2y=LOW,True,ROBUST,1414,0.0156,0.633,0.0075,1409,0.0601,0.8041,0.0322,1404,0.2959,0.9751,0.1825
t10y2y=MID + usd=STRONG,False,ROBUST,579,0.0192,0.6304,0.0111,541,0.0599,0.7616,0.032,345,0.0693,0.7391,-0.0441
ry=HIGH + baa10y=MID + t10y2y=HIGH,False,THIN,250,0.0146,0.632,0.0065,250,0.0596,0.768,0.0317,250,0.0891,0.964,-0.0243
breakeven=LOW + se_10y=HIGH,False,MODERATE,308,0.0114,0.5682,0.0033,308,0.0596,0.776,0.0317,308,0.2233,1.0,0.1099
ry=MID + baa10y=MID + nominal_10y=LOW,False,THIN,119,0.0317,0.7731,0.0236,119,0.0595,0.8403,0.0316,119,0.0942,0.7815,-0.0192
ry=HIGH + baa10y=MID + breakeven=HIGH,False,ROBUST,135,0.0186,0.6444,0.0105,135,0.0593,0.8593,0.0314,135,0.0915,0.9333,-0.0219
ry=HIGH + baa10y=MID + nominal_10y=MID,False,THIN,61,0.0202,0.7049,0.0121,61,0.0593,0.5902,0.0314,61,0.0752,0.9016,-0.0382
nominal_10y=HIGH + t10y3m=LOW,True,ROBUST,1231,0.0172,0.6507,0.0091,1210,0.0593,0.7727,0.0314,1086,0.3076,0.9761,0.1942
breakeven=HIGH + se_10y=MID,False,ROBUST,697,0.012,0.6241,0.0039,660,0.059,0.7727,0.0311,571,0.2311,0.8459,0.1177
ry=HIGH + breakeven=LOW,False,MODERATE,335,0.015,0.5881,0.0069,335,0.059,0.8,0.0311,335,0.2279,1.0,0.1145
breakeven=MID + t10y2y=LOW,True,ROBUST,767,0.0128,0.618,0.0047,767,0.0582,0.7823,0.0303,765,0.2834,0.9712,0.17
hy_oas=WIDE + t10y2y=LOW,False,THIN,230,0.0155,0.7174,0.0074,230,0.0579,0.9043,0.03,229,0.3508,1.0,0.2374
ry=HIGH + baa10y=MID + t10y3m=HIGH,False,THIN,267,0.0186,0.6554,0.0105,267,0.0573,0.7753,0.0294,267,0.093,0.9663,-0.0204
ry=HIGH + nominal_10y=LOW,False,THIN,29,0.058,0.8621,0.0499,29,0.0568,1.0,0.0289,29,0.3044,1.0,0.191
ry=HIGH + baa10y=WIDE + nominal_10y=LOW,False,THIN,29,0.058,0.8621,0.0499,29,0.0568,1.0,0.0289,29,0.3044,1.0,0.191
breakeven=HIGH + t10y3m=LOW,False,ROBUST,782,0.0174,0.6343,0.0093,766,0.0568,0.7637,0.0289,677,0.2686,0.9749,0.1552
ry=MID + baa10y=TIGHT + usd=STRONG,False,THIN,193,0.0169,0.6373,0.0088,193,0.0567,0.7876,0.0288,181,0.1982,1.0,0.0848
ry=MID + baa10y=TIGHT + t10y3m=LOW,False,THIN,178,0.0262,0.6629,0.0181,178,0.0565,0.7809,0.0286,166,0.1936,1.0,0.0802
usd=STRONG,True,ROBUST,1774,0.0151,0.6381,0.007,1731,0.0563,0.7614,0.0284,1530,0.2019,0.919,0.0885
ry=MID + baa10y=MID + se_10y=HIGH,False,MODERATE,125,0.0313,0.752,0.0232,125,0.0555,0.696,0.0276,125,0.1299,0.872,0.0165
breakeven=HIGH + hy_oas=MID,False,THIN,69,0.0087,0.6522,0.0006,62,0.0554,0.8871,0.0275,40,0.4088,1.0,0.2954
ry=MID + nominal_10y=LOW,False,ROBUST,353,0.0226,0.7054,0.0145,353,0.0552,0.7535,0.0273,353,0.0976,0.813,-0.0158
breakeven=LOW + t10y2y=LOW,False,MODERATE,403,0.0148,0.6625,0.0067,403,0.0551,0.7916,0.0272,403,0.2421,0.9578,0.1287
ry=HIGH + baa10y=WIDE + breakeven=LOW,False,MODERATE,310,0.014,0.5742,0.0059,310,0.055,0.7839,0.0271,310,0.2421,1.0,0.1287
t10y3m=LOW,True,ROBUST,2185,0.0156,0.6366,0.0075,2164,0.0547,0.7505,0.0268,1963,0.2418,0.9485,0.1284
breakeven=MID + baa10y=TIGHT,True,ROBUST,966,0.0126,0.6211,0.0045,960,0.0537,0.75,0.0258,848,0.2772,0.8479,0.1638
nominal_10y=LOW + usd=STRONG,False,MODERATE,602,0.0133,0.6246,0.0052,602,0.0537,0.7475,0.0258,602,0.0835,0.794,-0.0299
t10y2y=LOW + usd=STRONG,True,MODERATE,1195,0.0136,0.6418,0.0055,1190,0.0537,0.7613,0.0258,1185,0.259,0.9713,0.1456
breakeven=LOW + usd=STRONG,False,MODERATE,561,0.0181,0.6435,0.01,561,0.0533,0.7754,0.0254,561,0.119,0.8431,0.0056
ry=MID + baa10y=MID + usd=WEAK,False,MODERATE,383,0.0126,0.6423,0.0045,383,0.053,0.8016,0.0251,383,0.0721,0.6136,-0.0413
ry=HIGH + baa10y=WIDE + t10y2y=HIGH,False,MODERATE,294,0.0107,0.5544,0.0026,294,0.0529,0.7721,0.025,294,0.2357,1.0,0.1223
ry=HIGH + breakeven=HIGH,False,ROBUST,953,0.0149,0.6275,0.0068,916,0.0527,0.7664,0.0248,834,0.2516,0.9676,0.1382
ry=HIGH + baa10y=TIGHT + breakeven=HIGH,False,ROBUST,809,0.014,0.623,0.0059,772,0.0527,0.7578,0.0248,690,0.3073,0.9739,0.1939
ry=HIGH + t10y2y=HIGH,False,MODERATE,575,0.0143,0.6052,0.0062,575,0.0526,0.7809,0.0247,575,0.1305,0.9843,0.0171
ry=HIGH + baa10y=WIDE + nominal_10y=MID,False,MODERATE,287,0.0061,0.5261,-0.002,287,0.0526,0.7491,0.0247,287,0.2242,1.0,0.1108
ry=MID + baa10y=MID + t10y2y=MID,False,MODERATE,93,0.0472,0.957,0.0391,93,0.0525,0.8817,0.0246,93,0.0374,0.7204,-0.076
t10y3m=LOW + t10y2y=LOW,True,ROBUST,1760,0.0152,0.6358,0.0071,1760,0.0525,0.7523,0.0246,1755,0.2566,0.9812,0.1432
ry=MID + baa10y=TIGHT + se_10y=MID,False,MODERATE,224,0.0234,0.6384,0.0153,224,0.0524,0.817,0.0245,212,0.228,1.0,0.1146
ry=HIGH + baa10y=TIGHT + hy_oas=WIDE,False,THIN,214,0.0147,0.7336,0.0066,211,0.0523,0.9336,0.0244,208,0.3727,1.0,0.2593
ry=HIGH + hy_oas=WIDE,False,THIN,214,0.0147,0.7336,0.0066,211,0.0523,0.9336,0.0244,208,0.3727,1.0,0.2593
breakeven=LOW + t10y3m=LOW,False,MODERATE,487,0.0112,0.6304,0.0031,487,0.052,0.7515,0.0241,487,0.2035,0.8583,0.0901
se_10y=MID + usd=MID,False,THIN,164,0.0235,0.622,0.0154,164,0.0519,0.8659,0.024,164,0.2604,1.0,0.147
ry=HIGH + usd=MID,False,THIN,437,0.021,0.6247,0.0129,437,0.0518,0.7735,0.0239,437,0.2393,0.9794,0.1259
ry=HIGH + baa10y=WIDE,False,MODERATE,327,0.0132,0.5657,0.0051,327,0.0518,0.7492,0.0239,327,0.2358,1.0,0.1224
breakeven=LOW + baa10y=WIDE,False,ROBUST,1032,0.0197,0.6192,0.0116,1032,0.0518,0.7432,0.0239,1032,0.1542,0.8983,0.0408
ry=HIGH + baa10y=WIDE + t10y3m=HIGH,False,MODERATE,324,0.0129,0.5648,0.0048,324,0.0518,0.75,0.0239,324,0.2357,1.0,0.1223
ry=MID + baa10y=MID + t10y3m=MID,False,ROBUST,90,0.035,0.7889,0.0269,90,0.0516,0.7778,0.0237,90,0.0518,0.8111,-0.0616
se_10y=HIGH + usd=WEAK,False,THIN,566,0.0177,0.6254,0.0096,566,0.0513,0.629,0.0234,566,0.1886,0.8127,0.0752
baa10y=TIGHT + hy_oas=WIDE,False,THIN,264,0.0119,0.6818,0.0038,261,0.0508,0.8851,0.0229,258,0.3606,1.0,0.2472
hy_oas=WIDE + se_10y=MID,False,THIN,264,0.0119,0.6818,0.0038,261,0.0508,0.8851,0.0229,258,0.3606,1.0,0.2472
ry=MID + usd=STRONG,False,MODERATE,472,0.0234,0.6674,0.0153,472,0.0508,0.7288,0.0229,460,0.1685,1.0,0.0551
hy_oas=WIDE + usd=STRONG,False,THIN,264,0.0119,0.6818,0.0038,261,0.0508,0.8851,0.0229,258,0.3606,1.0,0.2472
hy_oas=WIDE,False,THIN,264,0.0119,0.6818,0.0038,261,0.0508,0.8851,0.0229,258,0.3606,1.0,0.2472
hy_oas=WIDE + t10y3m=LOW,False,THIN,263,0.0118,0.6806,0.0037,261,0.0508,0.8851,0.0229,258,0.3606,1.0,0.2472
nominal_10y=MID + breakeven=LOW,False,ROBUST,604,0.0212,0.6275,0.0131,604,0.0506,0.7947,0.0227,604,0.2412,0.9967,0.1278
ry=MID + breakeven=LOW,False,ROBUST,665,0.0262,0.6977,0.0181,665,0.0506,0.7789,0.0227,665,0.1952,0.8992,0.0818
ry=LOW + t10y3m=LOW,False,THIN,375,0.0062,0.584,-0.0019,375,0.0505,0.7173,0.0226,375,0.1571,0.816,0.0437
ry=MID + baa10y=MID + breakeven=HIGH,False,ROBUST,223,0.0211,0.6906,0.013,223,0.0504,0.7623,0.0225,223,0.1454,0.9552,0.032
ry=HIGH + se_10y=HIGH,False,MODERATE,1119,0.0167,0.6211,0.0086,1119,0.0502,0.7301,0.0223,1119,0.153,0.9625,0.0396
ry=HIGH + baa10y=WIDE + usd=WEAK,False,THIN,86,-0.0025,0.4651,-0.0106,86,0.05,0.6047,0.0221,86,0.2534,1.0,0.14
ry=HIGH + t10y3m=HIGH,False,MODERATE,631,0.0153,0.6149,0.0072,631,0.0499,0.7607,0.022,631,0.1315,0.9857,0.0181
breakeven=LOW + se_10y=MID,False,ROBUST,329,0.0375,0.6839,0.0294,329,0.0497,0.8146,0.0218,329,0.2657,0.9422,0.1523
baa10y=WIDE + t10y3m=LOW,False,MODERATE,161,0.0085,0.5901,0.0004,161,0.0489,0.7764,0.021,161,0.0574,0.8696,-0.056
nominal_10y=HIGH,True,ROBUST,2108,0.0157,0.6371,0.0076,2065,0.0482,0.7632,0.0203,1941,0.1957,0.9784,0.0823
breakeven=HIGH + usd=STRONG,False,THIN,547,0.0119,0.6015,0.0038,510,0.048,0.7137,0.0201,421,0.1472,0.9145,0.0338
ry=MID + baa10y=WIDE + se_10y=LOW,False,THIN,164,0.0149,0.6159,0.0068,164,0.048,0.5854,0.0201,164,0.1091,1.0,-0.0043
ry=MID + baa10y=TIGHT + breakeven=LOW,False,MODERATE,48,0.0148,0.7292,0.0067,48,0.0478,1.0,0.0199,48,-0.0302,0.1875,-0.1436
t10y2y=LOW,True,ROBUST,2124,0.01,0.5989,0.0019,2119,0.0474,0.7154,0.0195,2114,0.2444,0.964,0.131
ry=HIGH + baa10y=WIDE + se_10y=HIGH,False,MODERATE,238,0.0027,0.5084,-0.0054,238,0.0473,0.6891,0.0194,238,0.2008,1.0,0.0874
t10y2y=HIGH + se_10y=HIGH,False,MODERATE,1038,0.0139,0.605,0.0058,1038,0.0471,0.7408,0.0192,1038,0.1401,0.9566,0.0267
ry=MID + baa10y=WIDE + se_10y=MID,False,THIN,308,0.027,0.6753,0.0189,308,0.0468,0.8117,0.0189,308,0.2454,0.9545,0.132
nominal_10y=MID + hy_oas=MID,False,THIN,80,0.0343,0.725,0.0262,80,0.0465,0.7125,0.0186,33,0.4358,1.0,0.3224
t10y3m=LOW + se_10y=LOW,False,THIN,520,0.009,0.6058,0.0009,520,0.0464,0.7154,0.0185,520,0.1974,0.8673,0.084
se_10y=LOW + usd=STRONG,False,MODERATE,736,0.0126,0.6141,0.0045,736,0.0464,0.7147,0.0185,736,0.0981,0.8315,-0.0153
nominal_10y=HIGH + breakeven=HIGH,False,ROBUST,1024,0.0116,0.6045,0.0035,987,0.0463,0.7345,0.0184,913,0.257,0.9704,0.1436
nominal_10y=HIGH + t10y2y=HIGH,False,THIN,504,0.0188,0.6468,0.0107,504,0.0457,0.7976,0.0178,504,0.1164,0.9881,0.003
baa10y=TIGHT,True,ROBUST,2285,0.0121,0.6114,0.004,2242,0.0453,0.74,0.0174,2041,0.2425,0.8344,0.1291
breakeven=LOW + t10y2y=HIGH,False,ROBUST,724,0.014,0.5704,0.0059,724,0.0453,0.7445,0.0174,724,0.2083,0.8881,0.0949
ry=MID + se_10y=MID,False,ROBUST,960,0.0157,0.6146,0.0076,960,0.0449,0.7573,0.017,948,0.1834,0.8492,0.07
ry=HIGH + baa10y=TIGHT + se_10y=HIGH,False,THIN,569,0.0168,0.6292,0.0087,569,0.0448,0.7047,0.0169,569,0.2515,0.9631,0.1381
nominal_10y=HIGH + usd=MID,False,THIN,314,0.0146,0.586,0.0065,314,0.0447,0.7229,0.0168,314,0.181,0.9713,0.0676
ry=HIGH + baa10y=TIGHT + usd=MID,False,THIN,314,0.0146,0.586,0.0065,314,0.0447,0.7229,0.0168,314,0.181,0.9713,0.0676
breakeven=LOW + t10y3m=HIGH,False,ROBUST,800,0.0165,0.5925,0.0084,800,0.0439,0.735,0.016,800,0.2044,0.9025,0.091
se_10y=HIGH + usd=MID,False,THIN,334,0.0187,0.6108,0.0106,334,0.0438,0.7246,0.0159,334,0.2355,0.9731,0.1221
breakeven=LOW + baa10y=TIGHT,False,MODERATE,140,0.015,0.6571,0.0069,140,0.0438,0.9643,0.0159,140,-0.0177,0.4,-0.1311
ry=MID + t10y3m=LOW,False,MODERATE,451,0.0164,0.6319,0.0083,451,0.0431,0.7007,0.0152,439,0.1897,0.9863,0.0763
