ticker,date,drift,return,stopped,days_to_stop,bucket
TSCO,2011-10-03,-0.018595524675908415,0.22128234005284,False,,0
NOW,2022-03-07,-0.018513563126953403,0.0042156892664292275,True,3.0,0
HOOD,2025-11-17,-0.017763193385445963,0.19137917962344242,False,,0
ULTA,2011-10-03,-0.01712325952577798,0.13821131035938838,False,,0
WDC,2014-10-15,-0.016921109536200407,0.16985401938865646,False,,0
DECK,2011-10-03,-0.016570228775973805,0.2150029204556373,False,,0
AKAM,2008-11-14,-0.016457682945149488,0.10517925695321653,False,,0
ZBRA,2014-10-14,-0.016447368627439896,0.2219063650010835,False,,0
DVN,2008-01-22,-0.01639554633577167,0.19374277959502556,False,,0
TPR,2009-03-06,-0.01610181787723608,0.40999175880451116,False,,1
RCL,2014-10-15,-0.015835544737553997,0.2535603868273617,False,,1
BKNG,2016-02-08,-0.015783548224497346,0.352127795054876,False,,1
ADBE,2022-05-11,-0.015632807544076255,0.18178898230413604,False,,1
NVDA,2018-10-10,-0.01432722984085455,-0.09935160916461128,False,,1
LULU,2011-09-30,-0.01417125993366708,0.12270832061767578,False,,1
EOG,2005-11-10,-0.014071663483409602,0.20574094260805026,False,,1
AXON,2008-11-11,-0.013667413349507385,0.0,False,,1
TRGP,2014-10-14,-0.01318672173702995,0.09679689218349803,False,,1
TECH,2022-01-05,-0.012812449478158405,-0.17548230020792802,False,,1
ON,2008-12-23,-0.012012000831672753,0.27355626316193765,True,11.0,1
WMB,2014-10-14,-0.011268699195447485,0.15175157227559863,False,,1
HUM,2018-12-20,-0.01103977712496973,0.03254015153076268,False,,1
WMB,2005-11-10,-0.011016643325965525,0.12050616732984773,False,,1
MSFT,2022-05-11,-0.010976808246146996,0.06802556357301882,False,,1
CCJ,2006-05-17,-0.010910750048262252,-0.0030785894951374042,True,13.0,1
IBKR,2025-11-17,-0.010881574813683237,0.046568263125663194,False,,1
NVDA,2017-12-05,-0.010866425028080884,0.061766513202093504,False,,1
MPWR,2022-05-11,-0.010809097230374265,0.01544977316969823,True,8.0,1
TYL,2008-11-19,-0.009640636121673096,0.02123891743957186,True,6.0,1
IDXX,2022-01-05,-0.009546510668180463,-0.184827606237755,False,,1
NOW,2022-01-05,-0.009358182990377384,-0.06822351220928313,False,,1
CMG,2011-10-03,-0.009224444819499134,0.15234478087771247,False,,1
CF,2025-04-08,-0.008909099781236773,0.15487765283954402,False,,1
ON,2008-11-10,-0.008602142157561943,-0.37744038992659296,False,,1
LULU,2015-11-13,-0.007769111654793659,0.06979863263160258,True,9.0,1
ANET,2026-06-09,-0.007623578037532885,0.04370864969215646,True,11.0,1
HAL,2014-10-14,-0.007253985271486574,0.038766069464200054,True,14.0,1
MPWR,2017-12-05,-0.007011855396222733,0.021998713769945468,False,,1
AVB,2011-09-22,-0.006679339447073551,0.07188464810387825,False,,1
WYNN,2015-11-12,-0.006646106035656629,0.00513484563105942,False,,1
ZBRA,2022-01-07,-0.006574219814408755,-0.034605685133725986,False,,1
ANET,2025-02-27,-0.006552347669768643,-0.08618230034167476,False,,1
GDDY,2025-04-08,-0.0064771022626889385,0.16931581203172494,False,,1
CAT,2011-09-22,-0.006224696989842737,0.1450161908939116,False,,1
ULTA,2015-11-13,-0.005541241155039178,0.1937281966096105,False,,1
ROK,2011-09-22,-0.005044972713057927,0.28724650798513807,False,,1
MPWR,2018-10-10,-0.004981778642504708,-0.051707016093477935,True,9.0,1
CMI,2011-09-22,-0.004926554064621835,-0.037481895931349034,True,5.0,1
PANW,2022-03-07,-0.00470470978928339,0.1610357424633651,False,,1
DE,2011-09-22,-0.004665186277999278,0.05190777819631238,False,,1
TPR,2009-01-09,-0.004417935845161702,-0.2251801342089879,False,,1
WYNN,2009-01-12,-0.004390524967822329,-0.2939734420798269,False,,1
NOW,2022-05-11,-0.004210632348063403,-0.015146149405919173,True,4.0,1
ETN,2011-09-22,-0.004022069498821557,0.21632555009135515,False,,1
ANET,2022-06-13,-0.003909143178116414,0.04818486871461799,False,,1
TSCO,2012-06-04,-0.00386449555276136,0.019633109872843106,False,,1
AKAM,2018-10-10,-0.0038400268554688033,0.16109866470274495,False,,1
CFG,2025-03-10,-0.0037679055532553463,0.023449344650990096,False,,1
MGM,2007-07-26,-0.0031976833796987236,-0.007391763651962664,True,13.0,1
CRWD,2025-02-21,-0.002926139625351487,-0.1002737543252491,False,,1
CRM,2018-10-10,-0.0026845111736237826,0.01564303973299718,False,,1
NVDA,2022-08-22,-0.00264184954426816,-0.2268584629876578,False,,1
LEN,2012-11-14,-0.0022849229006215444,0.03893467818798016,False,,1
CNC,2020-10-29,-0.0020573074372534084,0.0927675933827551,True,14.0,1
CNC,2020-02-25,-0.001966051990198059,-0.008595980317419155,True,8.0,1
EOG,2006-09-12,-0.0018393951825831367,0.05426264304897702,False,,1
DECK,2012-06-04,-0.0017278182584330448,-0.15000001650590103,False,,1
DXCM,2022-04-22,-0.0016112367296320373,-0.2621721046002228,False,,1
EXR,2011-09-22,-0.0015646255525119113,0.041797275156333503,False,,1
QCOM,2022-01-20,-0.0015616403835592152,-0.009624408892729579,True,15.0,2
CRWD,2025-04-08,-0.001353687022640604,0.32122608457505686,False,,2
CCJ,2006-09-12,-0.0013134702068897663,-0.09622504110464797,False,,2
AMD,2017-12-05,-0.001009104847206177,0.06363637764810803,False,,2
