gold,avgo,lly,cagr,vol,sharpe,mdd,calmar,label
10,5,85,0.1765348068361099,0.2325662556148995,0.8159643190123094,-0.4753430506207432,0.371384006993635,Gold10/AVGO5/LLY85
10,10,80,0.18150514677271312,0.2260527402052773,0.8516333571983978,-0.46968125741689126,0.3864432397642138,Gold10/AVGO10/LLY80
10,15,75,0.19004877204302328,0.2211524790312808,0.8982514524603733,-0.4625669631223426,0.4108567779250547,Gold10/AVGO15/LLY75
10,20,70,0.19742319911948836,0.2186431503582851,0.9343946026170643,-0.4564751491185944,0.43249495509381364,Gold10/AVGO20/LLY70
10,25,65,0.2052651386001796,0.21768376374749046,0.9676433272425339,-0.4474654077991727,0.45872850732699494,Gold10/AVGO25/LLY65
10,30,60,0.2105724612008577,0.21752528791611353,0.9884817807132031,-0.4387957442556966,0.4798872002690896,Gold10/AVGO30/LLY60
10,35,55,0.21615823600492834,0.21926429886656307,1.0034294885979085,-0.42986959962841753,0.502846063531306,Gold10/AVGO35/LLY55
10,40,50,0.22254060853026658,0.22222965157006094,1.0166106940273558,-0.4196122579892453,0.53034820669126,Gold10/AVGO40/LLY50
10,45,45,0.22978307695467626,0.2264275361476109,1.028054888000645,-0.4124872642886174,0.5570670826673015,Gold10/AVGO45/LLY45
10,50,40,0.2326689366514212,0.23183020825363604,1.0196076723120504,-0.4059604848574842,0.5731319804022343,Gold10/AVGO50/LLY40
10,55,35,0.24125578219891652,0.23783020417471806,1.029037311394437,-0.39719982843588025,0.6073914562071929,Gold10/AVGO55/LLY35
10,60,30,0.24852512596810805,0.246340800552528,1.025550350490045,-0.38519329350848575,0.6451958799813141,Gold10/AVGO60/LLY30
10,65,25,0.25729213062765677,0.25464507743709436,1.0277849122118208,-0.3692072919604279,0.6968771642116799,Gold10/AVGO65/LLY25
10,70,20,0.26484282939413095,0.2649182722828311,1.020598015216636,-0.3624077839268272,0.7307868129223314,Gold10/AVGO70/LLY20
10,75,15,0.2726321683993549,0.27418173991351924,1.0176314058494684,-0.3834172524541273,0.711058687772463,Gold10/AVGO75/LLY15
10,80,10,0.2809879997410556,0.2864126310767041,1.0089869459191485,-0.4045576901289813,0.6945560709808059,Gold10/AVGO80/LLY10
10,85,5,0.2985901819316956,0.29905108524829727,1.024456634359823,-0.4269244109806224,0.6993982406530703,Gold10/AVGO85/LLY5
10,90,0,0.3223048850507846,0.3230706685138056,1.0274979763987218,-0.45455002595666616,0.7090636159847256,Gold10/AVGO90/LLY0
15,0,85,0.16580511767449524,0.2275929907771633,0.7884340651817542,-0.43258342174596914,0.3832905038415061,Gold15/AVGO0/LLY85
15,5,80,0.17223223154770584,0.22047821330282555,0.831717347268169,-0.425501215169487,0.4047749463632007,Gold15/AVGO5/LLY80
15,10,75,0.18209811528101105,0.21518382086418733,0.8859132268112792,-0.4196122579892452,0.4339675779578353,Gold15/AVGO10/LLY75
15,15,70,0.1883336638472528,0.2105506736147564,0.9258448180208692,-0.41502489547747784,0.45378883507838413,Gold15/AVGO15/LLY70
15,20,65,0.19648843393641924,0.20738958120872805,0.9698464616636939,-0.4115304761622023,0.47745779551688533,Gold15/AVGO20/LLY65
15,25,60,0.2049061522630382,0.20577797632981393,1.0100077293148773,-0.4059604848574842,0.504744082013234,Gold15/AVGO25/LLY60
15,30,55,0.20793801088958497,0.20571844585728244,1.0225314411186197,-0.4007384665851522,0.5188870753075076,Gold15/AVGO30/LLY55
15,35,50,0.2169341619253613,0.20857618666772748,1.0470141486165876,-0.3937543733080045,0.5509377841390221,Gold15/AVGO35/LLY50
15,40,45,0.2232848963385512,0.21167012356456416,1.059424856051515,-0.38519329350848575,0.5796697401057743,Gold15/AVGO40/LLY45
15,45,40,0.22882638994073945,0.21555439861754286,1.065206626997591,-0.3782975875686779,0.6048846132258172,Gold15/AVGO45/LLY40
