,walkforward,ew_regime,spy
2017-03-23,54.43602955336706,54.45909761945095,2.7071708594296777
2017-03-24,53.974672799861345,54.214310950268846,2.705205393348304
2017-03-27,53.7714401143479,54.26543543590692,2.7024289250649387
2017-03-28,54.961836751060325,55.142484902542535,2.7220939938082935
2017-03-29,54.77795471722244,55.12866442297868,2.7246382224072434
2017-03-30,55.43286737079227,55.57161160979485,2.7333141500904996
2017-03-31,55.28651498599099,55.51387966718714,2.7269522520922913
2017-04-03,55.06703706358073,55.314824300245824,2.7222097054963985
2017-04-04,54.78671702504864,55.08227069308006,2.723944768586819
2017-04-05,53.73002026910996,54.186860981970874,2.7158473993440877
2017-04-06,55.27358338653533,55.209624251192245,2.723482125911451
2017-04-07,55.7969711825485,55.47502661658719,2.720705657628086
2017-04-10,55.791746413326315,55.57907305822308,2.722324396799247
2017-04-11,56.002896102585886,55.88820481601335,2.7190863062257704
2017-04-12,54.122097364596314,54.66570494661839,2.707170859429678
2017-04-13,53.10561792650092,54.03555468732646,2.6895892133033668
2017-04-17,53.250203161570774,54.50656584907261,2.713418066125038
2017-04-18,53.43378380236555,54.32383319763745,2.705320696882307
2017-04-19,53.555295003289245,54.048239404626266,2.7003471350643067
2017-04-20,54.65411573456621,54.601944930913156,2.722324396799247
2017-04-21,55.04920893104797,54.934549201635384,2.713649693578299
2017-04-24,56.21613618247211,55.6546037484188,2.7434935134109146
2017-04-25,56.19718766637787,56.17220799744674,2.759458052982475
2017-04-26,56.39693164645805,56.12324051587763,2.7577217654297463
2017-04-27,56.16059717273741,56.07940933071031,2.7600357951147942
2017-04-28,56.00577848707096,55.95280291776354,2.754020215872696
2017-05-01,56.39808493660712,56.27343914069681,2.760961080465531
2017-05-02,56.498084982164244,56.41111208626112,2.762002689735527
2017-05-03,55.6346720839471,55.760498912206884,2.7586478670886887
2017-05-04,55.74191473634181,55.7706848213305,2.7618865698933197
2017-05-05,55.98676695119276,55.909193369969834,2.7727597951882625
2017-05-08,56.30614970745649,56.17381916419286,2.7722979688210994
2017-05-09,56.041051276940216,56.01070983587908,2.7697525157598415
2017-05-10,56.80191720988268,56.681738358756895,2.7747264857319442
2017-05-11,56.53040351407878,56.559569147067165,2.7690582456312116
2017-05-12,56.949933978896915,56.900780393905805,2.7644312066463725
2017-05-15,56.483578680604595,56.64149180788302,2.779700455704047
2017-05-16,56.51731252032683,56.73566077110424,2.777156023028046
2017-05-17,54.65356828907366,55.48754450309861,2.727877945597131
2017-05-18,55.527237005961226,56.10683119822712,2.7388662703490243
2017-05-19,55.562939667383176,56.14427108974604,2.756681380622059
2017-05-22,55.504979414592434,56.16107834537893,2.7706784133417326
2017-05-23,56.39513089523857,56.755686513067836,2.776809092040782
2017-05-24,56.121508191213394,56.558682976834504,2.7832860894959413
2017-05-25,56.36962144119173,57.094888454471075,2.796589464318139
2017-05-26,55.85803818887118,56.85344941004389,2.796010701800563
2017-05-30,55.956483273782545,56.670499591622516,2.7935819808126667
2017-05-31,55.29919754013973,56.36619499471918,2.7928881188381394
2017-06-01,55.87413861948699,56.73466900362279,2.815097008026341
2017-06-02,56.06325985231244,56.84847113859753,2.8244672058382267
2017-06-05,55.97040640563404,56.7254491516672,2.8223850076834913
2017-06-06,56.05954523643497,56.778463793199606,2.8133617408588694
2017-06-07,55.58627527332861,56.43315591768276,2.818567950515387
2017-06-08,56.757274808542334,56.89705495956548,2.8199560826185444
2017-06-09,56.463645513256814,56.823793829078625,2.8156757705439173
2017-06-12,55.86261293453497,56.381206834933224,2.815097008026341
2017-06-13,56.03610427008128,56.522078117484554,2.8288630255239076
2017-06-14,55.10241484260779,55.65832415770356,2.8252771876549616
2017-06-15,54.39777691810688,55.165391033520635,2.819840370930439
2017-06-16,55.14350934042979,55.710784166500176,2.820456479548409
2017-06-19,55.09665482607088,55.880613575241895,2.8439365646893546
2017-06-20,55.21533623505026,55.56589302641014,2.8247571993281686
2017-06-21,55.7558802334122,55.85418161534469,2.82406007212082
2017-06-22,56.17805944738263,56.322884872097355,2.8227817334712797
2017-06-23,56.4175253948412,56.71975083416147,2.826152474128122
2017-06-26,56.15852134046735,56.589459828748474,2.828011003834598
2017-06-27,55.153109154869185,55.866188582763705,2.805228862209206
2017-06-28,56.82187307416078,57.026767397410794,2.8303366659115716
2017-06-29,56.32226499216104,56.72813893681506,2.805461714124775
2017-06-30,56.57652240013118,57.07766059714795,2.8106928211815556
2017-07-03,56.588939024816206,56.86311626345993,2.815457612176043
2017-07-04,56.588939024816206,,
2017-07-05,55.17436849098907,55.86413143454572,2.8219678741905696
2017-07-06,53.906111174924405,54.95983234797019,2.7961623310497017
2017-07-07,54.68819986870874,55.4090846204993,2.8142951892916592
2017-07-10,54.97698977568147,55.591840916610366,2.8173175704218787
2017-07-11,55.48285448763139,55.8602012270351,2.8152259847227823
2017-07-12,56.21626271220257,56.44077605139524,2.8363816322490623
2017-07-13,55.88975383843635,56.22013513026402,2.8411474436288064
2017-07-14,56.39048885041183,56.63967446108411,2.8543983706488123
2017-07-17,55.845032954907,56.2705448696184,2.854050419276292
2017-07-18,58.43513832944122,58.041385477667866,2.855560589456145
2017-07-19,58.19489305327685,57.84816945450035,2.8710210587109164
2017-07-20,57.8115497616805,57.42596876721016,2.8723004177457137
2017-07-21,57.85006727084038,57.42382674734442,2.869742720061376
2017-07-24,58.42758748752539,57.765715340854904,2.8690453887769762
2017-07-25,58.51703822116623,57.91202430392684,2.8760197220062302
2017-07-26,58.661626336901946,57.89230357135254,2.8761360459254894
2017-07-27,57.82873059719954,57.522644116729765,2.873462228398944
2017-07-28,58.06380193983489,57.78353127042323,2.8700908755109475
2017-07-31,56.814601122719644,56.798729030744724,2.868463973257733
2017-08-01,56.7721784891672,56.86704311123729,2.8748570950447947
2017-08-02,57.17868354817055,57.194914968225085,2.8762519616906457
2017-08-03,58.07226927784727,57.72849241677328,2.8706720869531397
2017-08-04,58.70987275703552,58.0789808491951,2.875903398086971
2017-08-07,58.512611675448625,57.87707978536218,2.881249604600703
2017-08-08,58.50211330698083,57.78116177339434,2.874159763760395
2017-08-09,58.19234779879538,57.73821751906074,2.8740424194558796
2017-08-10,56.471949771722954,56.47553583459404,2.8334749628069473
2017-08-11,55.94653152144751,56.35784464404746,2.837660379052705
2017-08-14,56.30549357969529,56.633016320255265,2.865790359808239
2017-08-15,55.719057796927636,56.27023194043495,2.865442204358667
2017-08-16,56.16575811219192,56.567295325051305,2.8704398472687243
2017-08-17,54.903208520668805,55.55271908760121,2.825686770296983
2017-08-18,55.30969361686568,55.76421093002027,2.821270542906169
2017-08-21,54.91979382953617,55.44297370711025,2.8234788606786276
2017-08-22,55.032562319485386,55.82264920910447,2.853004116234115
2017-08-23,55.0033569889311,55.299967021601006,2.842774958113175
2017-08-24,54.90286337396824,54.96964916637402,2.836148984410544
2017-08-25,54.91685272712077,55.24880028287837,2.8427749581131745
2017-08-28,55.27732166905307,55.65270808750558,2.8428906698012795
2017-08-29,55.29124449596474,55.97085408276956,2.8461452906159144
2017-08-30,55.869142944795236,56.68962492987546,2.8596292736285407
2017-08-31,55.76630006901519,56.722770493423596,2.876833173132838
2017-09-01,56.06610130435469,57.089788313811084,2.88090124507408
2017-09-04,56.06610130435469,,
2017-09-05,55.90601535571723,56.826713644626594,2.8602102809936816
2017-09-06,55.97027013576014,57.19267510253492,2.869974347514637
2017-09-07,55.75988819355238,57.36533294353872,2.869626804296219
2017-09-08,56.016723743428166,57.75572150107543,2.8662556554852743
2017-09-11,55.952511735198144,57.81545354200842,2.896826397774733
2017-09-12,56.55532148673446,58.418058856296966,2.9065908724497915
2017-09-13,56.919536912116925,58.710792774858895,2.9079851268644883
2017-09-14,56.680904273983906,58.43122349083169,2.907055351818622
2017-09-15,56.450842124087245,58.38929076123929,2.9109693455861088
2017-09-18,56.91069002785055,58.573414983771826,2.917160431092352
2017-09-19,56.681867762551015,58.42899776044304,2.9200805696198544
2017-09-20,57.63494027068245,59.098792645394894,2.9211327908965194
2017-09-21,57.19622567342342,58.869986006046894,2.913306231900905
2017-09-22,57.01815625956556,58.94121384349924,2.913889688190662
2017-09-25,56.532712078953594,58.55626217571033,2.90793186275409
2017-09-26,56.73470879453556,58.81912778625072,2.909684272393874
2017-09-27,57.74720333009124,59.439493408743544,2.921015038437902
2017-09-28,58.17755331856481,59.806945944775,2.924519857717469
2017-09-29,57.78177178594475,59.62068090102088,2.934799218793037
2017-10-02,57.9765333004766,59.552568792142914,2.9475328104879175
2017-10-03,58.54358418963083,60.50234813306043,2.953840628067523
2017-10-04,59.71614017330945,61.12826949728611,2.95734544734709
2017-10-05,60.27785261130237,61.741696092596264,2.9748685233596697
2017-10-06,60.690730653520006,62.10227899012985,2.9714806402305154
2017-10-09,60.11395683511452,61.74656119018932,2.9665736075312497
2017-10-10,60.337673748791694,61.866566587636264,2.9744007787580182
2017-10-11,60.63245240221664,62.097682942617894,2.9790735310023555
2017-10-12,61.39645363604219,62.69996557050433,2.9746338347506387
2017-10-13,62.140711659113435,63.28968858866198,2.9782559983347214
2017-10-16,62.0818531389681,63.29220952363415,2.982227745907735
2017-10-17,62.051778716639,63.2615487662129,2.984329943613501
2017-10-18,62.13881091593485,63.35027775728868,2.9872506943721575
2017-10-19,62.22770401043813,63.44090392384192,2.9880680229627403
2017-10-20,62.595407847843695,63.815776566055455,3.0034886971925023
2017-10-23,62.477383526741235,63.695451226485126,2.991806510466082
2017-10-24,62.59146108231584,63.81175285384167,2.997062923077227
2017-10-25,62.24555546850624,63.4591034164025,2.982227745907735
2017-10-26,62.39544568251213,63.60737744565592,2.986081945099182
2017-10-27,63.77605942789489,64.49466653842771,3.01049731536638
2017-10-30,63.58583677925459,64.41958252973501,2.999282465087509
2017-10-31,64.04457532244113,64.82845338303868,3.0039554214088975
2017-11-01,63.868755053915386,64.78100269632175,3.00792696490486
2017-11-02,63.970931350101665,64.91030368063235,3.0090948978696304
2017-11-03,64.24803663185344,65.02050766027898,3.019142019260783
2017-11-06,64.58820610779246,65.23070637494101,3.023814567428069
2017-11-07,65.29589787676728,65.61462188786312,3.0217117574911496
2017-11-08,65.04151717009209,65.80082037698709,3.0268514380289337
2017-11-09,64.66831542587447,65.58637989718841,3.015871888590248
2017-11-10,65.34182613341362,66.4491623229727,3.0149363993869445
2017-11-13,65.21818421438778,66.58244740586034,3.0177398058410856
2017-11-14,65.05359403105044,66.43374895902093,3.0107309835901566
2017-11-15,64.9984777109461,66.31006604042982,2.9956613218886843
2017-11-16,66.3322137975846,67.50318496779352,3.0211274848931886
2017-11-17,66.70516757847645,67.93169794289433,3.0122499290832168
2017-11-20,67.66347070227528,68.52750399724573,3.0173896096210004
2017-11-21,67.71883615558619,68.75129694762721,3.0371318194897583
2017-11-22,67.22518922257778,68.54809947035383,3.0344449410319276
